"","sender_cells","receiver_cells","ligand","receptor","prob"
"862","GSM1271959_E14_1_C46_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"863","GSM1271960_E14_1_C50_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"864","GSM1271962_E14_1_C54_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"865","GSM1271963_E14_1_C56_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"866","GSM1271964_E14_1_C57_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"867","GSM1271971_E14_1_C70_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"868","GSM1271972_E14_1_C73_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"869","GSM1271974_E14_1_C75_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"870","GSM1271975_E14_1_C76_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"871","GSM1271978_E14_1_C79_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"872","GSM1271984_E14_1_C87_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"873","GSM1271987_E14_1_C94_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"874","GSM1271988_E14_1_C95_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"875","GSM1271989_E14_1_C96_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"876","GSM1271946_E14_1_C02_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"877","GSM1271947_E14_1_C05_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"878","GSM1271948_E14_1_C06_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"879","GSM1271949_E14_1_C09_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"880","GSM1271950_E14_1_C10_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"881","GSM1271951_E14_1_C14_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"882","GSM1271953_E14_1_C18_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"883","GSM1271954_E14_1_C22_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"884","GSM1271955_E14_1_C25_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"885","GSM1271957_E14_1_C39_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"886","GSM1271958_E14_1_C44_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"887","GSM1271959_E14_1_C46_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"888","GSM1271960_E14_1_C50_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"889","GSM1271962_E14_1_C54_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
